SEQ_ARTICULO,ARTICULO,REF_ALTERNATIVA,SEQ_CLIPRO,GRUPO,FAMILIA,SUBFAMILIA,FABRICANTE,NOMBRE,NOMBRE_ABR,NOMBRE_PRO,TIPO_ALMACEN,TIPO_IVA,IMPORTACION,DTO_CIAL,FEC_ALTA,FEC_BAJA,FEC_BAJA_COM,COD_BARRA,COD_BCAJA,UDS_ENV,UDS_MINIMA,PESO_UNIDAD,PESO_CAJA,UNID_PALET,PESO_PALET,FORMATO,ATR1_FORMATO,ATR2_FORMATO,ATR3_FORMATO,ATR4_FORMATO,ATR5_FORMATO,ATR6_FORMATO,CLAVE_DTO,DTO_FIJO,STOCK,MARGEN,CTA_VENTAS,CTA_COMPRAS,OBSER,SEQ_MARGEN,UNID_MEDIDA,NUM_PLANO,COD_CATEGORIA,GRUPED,ART_RAPEL,GRUPOFAB,STOCKPROV,UGV,SUBIDA,IMAGEN,NWPROD,LOTE,MP CAMISA,MP VASTAGO,MP VARILLAS,MP CABEZA PISTON,MP TAPA TRASERA,MP TAPA GUIA,DIM CAMISA,DIM VASTAGO,DIM VARILLAS,DIM CABEZA PISTON,DIM TAPA TRASERA,DIM TAPA GUIA,ALTA TEMPERATURA,AMORTIGUACION,CARRERA,DIAMETRO,AMARRE 0,AMARRE 1,EXTRA 1,AMARRE 2,EXTRA 2,AMARRE 3,AMARRE 4,AMARRE 5,EXTRA 3,AMARRE 6,EXTRA 4,EXTRA 5,EXTRA 6,EXTRA 7,EXTRA 8,EXTRA 9,AMARRE 7,AMARRE 8,AMARRE 9,KIT,AMARRE 10
201878,2020N400P732,2020N400P732,,5,140,,,CIL 2020N400P732,CIL 2020N400P732,,1,2,,,15/04/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,1000,40,16,1,1,1,0,1,400.0,200.0,ARTICULACION HEMBRA,ARTICULACION MACHO,,HORQUILLA,,BULON,BULON,CONTRATUERCA,,,,,,,,,,,,,
201879,2012A300P733,2012A300P733,,5,140,,,CIL 2012A300P733,CIL 2012A300P733,,1,2,,,15/04/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,16500,30,12,1,1,1,0,0,300.0,125.0,BRIDA,CONTRATUERCA,,,,,,,,,,,,,,,,,,,
201918,ES30A505P734,ES300A0505P734,,5,140,,,CIL ES300A0505P734,CIL ES300A0505P734,,1,2,,,21/04/1999 0:00,,,,,1.0,1.0,,,,,,,,,,,,,,S,,,,"Tapas y Piston acero, Horquilla Macho esp., Zuncho esp., NBR",,,,2,1,,1.0,,1.0,,,,,PERFORADA,ACERO,F-2111,ACERO,ACERO,ACERO,94608,75,24,18300,6337500,9506250,0,1,505.0,300.0,HORQUILLA,ZUNCHO,,,,,,,,,,,,,,,,,,,
201981,2016A350P736,2016A350P736,,5,140,,,CIL 2016A350P736,CIL 2016A350P736,,1,2,,,03/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,ACERO,ACERO,ACERO,640,40,16,20625,1882375,3080250,0,1,350.0,160.0,,,,,,,,,,,,,,,,,,,,,
201991,7020A350P737,7020A350P737,,5,140,,,CIL 7020A350P737,CIL 7020A350P737,,1,2,,,03/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,INOX,F-2111,MP,MP,MP,42000,40,16,1,1,1,1,1,350.0,200.0,CONTRATUERCA,ZUNCHO,VARILLA,HORQUILLA,VARILLA,,,,,,,,,,,,,,,,
202034,7012A200P738,7012A200P738,,5,140,,,CIL 7012A200P738,CIL 7012A200P738,,1,2,,,11/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,375,30,12,1,1,1,0,0,200.0,125.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
202055,ES06N560P739,ES06N560P739,,5,140,,,CIL ES06N560P739,CIL ES06N560P739,,1,2,,,13/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,ACERO,ACERO,ACERO,63,20,8,1950,480000,640000,0,0,560.0,63.0,CONTRATUERCA,,VARILLA,,,,,,,,,,,,,,,,,,
202071,2010A200P741,2010A200P741,,5,140,,,CIL 2010A200P741,CIL 2010A200P741,,1,2,,,17/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,300,30,10,1,1,1,0,0,200.0,100.0,BRIDA,,,,,,,,,,,,,,,,,,,,
202090,ES16A350P742,ES16A350P742,,5,140,,,CIL ES16A350P742,CIL ES16A350P742,,1,2,,,19/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,ACERO,ACERO,ACERO,640,40,16,7425,1378125,2296875,0,1,350.0,160.0,ZUNCHO,,,,,,,,,,,,,,,,,,,,
202106,7016A200P743,70160A0200P743,,5,140,,,CIL 70160A0200P743,CIL 70160A0200P743,,1,2,,,20/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,INOX,F-2111,MP,MP,MP,160,40,16,1,1,1,1,1,200.0,160.0,CONTRATUERCA,ZUNCHO,VARILLA,HORQUILLA,,,,,,,,,,,,,,,,,
202113,7025A320P746,7025A320P746,,5,140,,,CIL 7025A320P746,CIL 7025A320P746,,1,2,,,21/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,250,50,20,1,1,1,0,0,320.0,250.0,CONTRATUERCA,ROTULA,VARILLA,,,,,,,,,,,,,,,,,,
202114,7025A320P747,7025A320P747,,5,140,,,CIL 7025A320P747,CIL 7025A320P747,,1,2,,,21/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,250,50,20,1,1,1,0,0,320.0,250.0,CONTRATUERCA,SOPORTE,VARILLA,ROTULA,,,,,,,,,,,,,,,,,
202146,7020A200P748,7020A200P748,,5,140,,,CIL 7020A200P748,CIL 7020A200P748,,1,2,,,24/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,42000,40,16,1,1,1,0,0,200.0,200.0,CONTRATUERCA,ROTULA,VARILLA,ROTULA,,,,,,,,,,,,,,,,,
202175,2020N350P760,2020N350P760,,5,140,,,CIL 2020N350P760,CIL 2020N350P760,,1,2,,,31/05/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,COMPRADO,COMPRADO,MP,MP,MP,42000,40,,1,1,1,0,1,350.0,200.0,HORQUILLA,CONTRATUERCA,,,,,,,,,,,,,,,,,,,
