SEQ_ARTICULO,ARTICULO,REF_ALTERNATIVA,SEQ_CLIPRO,GRUPO,FAMILIA,SUBFAMILIA,FABRICANTE,NOMBRE,NOMBRE_ABR,NOMBRE_PRO,TIPO_ALMACEN,TIPO_IVA,IMPORTACION,DTO_CIAL,FEC_ALTA,FEC_BAJA,FEC_BAJA_COM,COD_BARRA,COD_BCAJA,UDS_ENV,UDS_MINIMA,PESO_UNIDAD,PESO_CAJA,UNID_PALET,PESO_PALET,FORMATO,ATR1_FORMATO,ATR2_FORMATO,ATR3_FORMATO,ATR4_FORMATO,ATR5_FORMATO,ATR6_FORMATO,CLAVE_DTO,DTO_FIJO,STOCK,MARGEN,CTA_VENTAS,CTA_COMPRAS,OBSER,SEQ_MARGEN,UNID_MEDIDA,NUM_PLANO,COD_CATEGORIA,GRUPED,ART_RAPEL,GRUPOFAB,STOCKPROV,UGV,SUBIDA,IMAGEN,NWPROD,LOTE,MP CAMISA,MP VASTAGO,MP VARILLAS,MP CABEZA PISTON,MP TAPA GUIA,MP TAPA TRASERA,DIM CAMISA,DIM VASTAGO,DIM VARILLAS,DIM CABEZA PISTON,DIM TAPA GUIA,DIM TAPA TRASERA
218058,2012A250P164,2012A250P164,,5,140,,,CIL 2012A250P164,CIL 2012A250P164,,1,2,,,27/08/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
218079,7012A270P174,7012A270P174,,5,140,,,CIL 7012A270P174,CIL 7012A270P174,,1,2,,,05/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218084,7005A030P175,7005A030P175,,5,140,,,CIL 7005A030P175,CIL 7005A030P175,,1,2,,,05/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218089,7006A140P176,7006A140P176,,5,140,,,CIL 7006A140P176,CIL 7006A140P176,,1,2,,,05/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218093,7016A530P177,7016A530P177,,5,140,,,CIL 7016A530P177,CIL 7016A530P177,,1,2,,,05/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218119,7808A075P179,7808A075P179,,5,140,,,CIL 7808A075P179,CIL 7808A075P179,,1,2,,,10/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
218124,2012A200P181,2012A200P181,,5,140,,,CIL 2012A200P181,CIL 2012A200P181,,1,2,,,11/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218132,7010A200P184,7010A200P184,,5,140,,,CIL 7010A200P184,CIL 7010A200P184,,1,2,,,13/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218138,2008A150P186,2008A150P186,,5,140,,,CIL 2008A150P186,CIL 2008A150P186,,1,2,,,14/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218152,7020A320P187,7020A320P187,,5,140,,,CIL 7020A320P187,CIL 7020A320P187,,1,2,,,19/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218159,ES08N710P160,ES08N710P160,,5,140,,,CIL ES08N710P160,CIL ES08N710P160,,1,2,,,20/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218174,2020A100P188,2020A100P188,,5,140,,,CIL 2020A100P188,CIL 2020A100P188,,1,2,,,21/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218175,2020A265P189,2020A265P189,,5,140,,,CIL 2020A265P189,CIL 2020A265P189,,1,2,,,21/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218199,2016A100P193,2016A100P193,,5,140,,,CIL 2016A100P193,CIL 2016A100P193,,1,2,,,26/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
218200,2012A250P195,2012A250P195,,5,140,,,CIL 2012A250P195,CIL 2012A250P195,,1,2,,,26/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
218201,2010A300P196,20100A0300P196,,5,140,,,CIL 20100A0300P196,CIL 20100A0300P196,,1,2,,,26/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
218202,2016AP00P197,2016AP00P197,,5,140,,,CIL 2016AP00P197,CIL 2016AP00P197,,1,2,,,26/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
218218,7008A100P198,7008A100P198,,5,140,,,CIL 7008A100P198,CIL 7008A100P198,,1,2,,,28/09/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
218220,3016A810P159,3016A810P159,,5,140,,,CIL 3016A810P159,CIL 3016A810P159,,1,2,,,02/10/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218224,7012A100P200,7012A100P200,,5,140,,,CIL 7012A100P200,CIL 7012A100P200,,1,2,,,02/10/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218225,ES15A190P180,ES15A190P180,,5,140,,,CIL ES15A190P180,CIL ES15A190P180,,1,2,,,02/10/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218251,2020AE00P203,2020AE00P203,,5,140,,,CIL 2020AE00P203,CIL 2020AE00P203,,1,2,,,03/10/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218265,7006A170P185,7006A170P185,,5,140,,,CIL 7006A170P185,CIL 7006A170P185,,1,2,,,04/10/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218331,ES06N400P173,ES06N400P173,,5,140,,,CIL ES06N400P173,CIL ES06N400P173,,1,2,,,23/10/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218361,2008A100P204,2008A100P204,,5,140,,,CIL 2008A100P204,CIL 2008A100P204,,1,2,,,25/10/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218367,2006A500P208,2006A500P208,,5,140,,,CIL 2006A500P208,CIL 2006A500P208,,1,2,,,29/10/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218372,2006A500P209,2006A500P209,,5,140,,,CIL 2006A500P209,CIL 2006A500P209,,1,2,,,29/10/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218485,2020A390P213,2020A390P213,,5,140,,,CIL 2020A390P213,CIL 2020A390P213,,1,2,,,07/11/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
218492,7010A450P211,7010A450P211,,5,140,,,CIL 7010A450P211,CIL 7010A450P211,,1,2,,,08/11/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
