SEQ_CONJ;NIVEL_ALT;SEQ_ARTICULO;DESCRIPCION;VERIFICADO
364246;0;237066;PANEL NEUMATICO REF. A11M10P254;s
364247;0;237067;PANEL NEUMATICO REF. A11M10P255;s
364248;0;237068;PANEL NEUMATICO REF. A11M10P256;s
364249;0;237070;PANEL NEUMATICO REF. A11M10P257;s
364250;0;237071;PANEL NEUMATICO REF. A11M10P258;s
364251;0;237072;PANEL NEUMATICO REF. A11M10P259;s
364252;0;237073;PANEL NEUMATICO REF.A11M10P260;s
364253;0;237074;PANEL NEUMATICO REF.A11M10P261;s
364255;0;237076;LOOSE MATERIALS PANEL LM11M10P256;s
364256;0;237077;LOOSE MATERIALS PANEL LM11M10P257;s
364257;0;237078;LOOSE MATERIALS PANEL LM11M10P258;s
364258;0;237079;LOOSE MATERIALS PANEL A11M10P259;s
364259;0;237080;LOOSE MATERIALS PANEL A11M10P260;s
364260;0;237081;LOOSE MATERIALS PANEL A11M10P261;s
364261;0;237082;MATERIAL SUELTO DEL PANEL A11M10P248;s
364262;0;237083;MATERIAL SUELTO DEL PANEL A11M10P249;s
364263;0;234117;CIL 20080A1300P544;s
364264;0;237084;MATERIAL SUELTO DEL PANEL A11M10P250;s
364265;0;237085;MATERIAL SUELTO DEL PANEL A11M10P252;s
364266;0;237086;MATERIAL SUELTO DEL PANEL A11M10P253;s
364267;0;237091;TIRANTE S/P 49.08 C-1300;s
364268;0;237092;TAPA GUIA 40.544/01 (MODIF. 26.08.05);s
364269;0;237093;ARMAZON S/P A12D11P659;s
364270;0;237094;ARMAZON S/P A12D11P660;s
364271;0;237095;ARMAZON S/P A12D11P661;s
364272;0;237096;ARMAZON S/P A12D11P662;s
364273;0;237102;ESCUADRA S/P 40.544/02;s
364274;0;223979;CHAPA DE 1100X800X3;n
364275;0;223750;CHARNELA S/P B30AP06;s
364276;0;237007;CILINDRO ES090AD0050P566;s
364277;0;237120;TIRANTE S/P 40.566/04;s
364278;0;237119;VARILLA INTERNA S/P 40.566/03;s
364279;0;237011;SUBCONJ.ARTIC.MACHO G30AP20;s
364280;0;237123;CHARNELA S/P B30AP20;s
364281;0;237118;VASTAGO S/P 40.566/02;s
364282;0;237117;CAMISA ALUMINIO S/P 40.566/01;s
364283;0;237127;CILINDRO 70160A0150P586;s
364284;0;237129;TIRANTE S/P 40.586/01;s
364285;0;237130;TIRANTE S/P 80DA08A.C-148;s
364286;0;237131;TIRANTE S/P 80DA08A.C-147;s
364287;0;237132;RACORERIA PANEL A11D11P287;n
364288;0;237133;RACORERIA PANEL A11D11P288;n
364289;0;237137;RACORERIA PANEL A11C11P272;n
364290;0;237138;RACORERIA PANEL A11C11P273;n
364291;0;237139;CIL A80D080A0400;s
364292;0;237140;CONJ. PRESOTERAPIA 13 V REF.A30D11P001;s
364293;0;237143;RACORERIA PANEL A11C11P274;n
364294;0;237149;RACORERIA PANEL A11C11P275;n
364295;0;237151;RACORERIA PANEL A11C11P276;n
364296;0;237155;CALDERIN 10.000 LTS. REF. A12C11P649;s
364297;0;237158;SPARE PARTS JISCO A10D11P223;n
364298;0;237164;ARMARIO A11C11P264;s
364299;0;237141;BASE PRESOTERAPIA 13V 30-0001/01;n
364300;0;237154;EJE INFERIOR S/P 44MK07B15;s
364301;0;237171;TIRANTE S/P 29.16.LOG-232;s
364302;0;237172;RACORERIA PANEL RC11C11P264;n
364303;0;237166;JUEGO REP KR12P249;s
364304;0;207031;TIRANTE S/P 29.16.LOG-492;s
364305;0;237182;TIRANTE S/P 29.16.LOG-464;s
364306;0;209718;TIRANTE S/P 29.16.C-692;s
364307;0;237184;TIRANTE S/P 80DA06A.C-500;s
364308;0;231625;CIL LS080A1400M;s
364309;0;237188;CAMISA S/P 17.08.C-1400;s
364310;0;237189;TIRANTE S/P 29.08.C-1400;s
364311;0;222295;CIL A70C250A0850;s
364312;0;237201;CAMISA S/P 70BA25A.C-850;s
364313;0;237202;VASTAGO S/P 70CA25B C-850;s
364314;0;237203;TIRANTE S/P 70DA25B.C-850;s
364315;0;237205;TIRANTE S/P 70DA25B.LOG-345;s
364316;0;237206;TIRANTE S/P 70DA25B.LOG-655;s
364317;0;237209;CILINDRO 20160A0400P543;s
364318;0;237210;TIRANTE S/P 40.543/01;s
364319;0;237211;TIRANTE TRASERO S/P 40.543/02;s
364320;0;237214;CIL A40C050A0160;s
364321;0;237215;VASTAGO S/P 40CA05A.C-160;s
364322;0;202642;ESCUADRA S/P 20.744/03;s
364323;0;237219;TIRANTE S/P 20.316/03;s
364324;0;226780;CIL 80MS250A0265;s
364325;0;226776;CAMISA S/P 27.25.C-265;s
364326;0;237221;VASTAGO S/P 28.25.C-265;s
364327;0;237222;TIRANTE S/P 29.25.C-265;s
364328;0;237223;MATERIAL SUELTO A10E11P224;s
364329;0;237240;CIL A81C032A0355;s
364330;0;237241;CAMISA S/P 81BA03A.C-355;s
364331;0;237243;VASTAGO S/P 80CA03B.C-355;s
